colour	x	key	showSelected2	showSelected3	group
#00BFC4	-2.49451851379126	1	3	prediction	414
#00BFC4	-2.49451851379126	1	4	prediction	415
#00BFC4	-2.49451851379126	1	5	prediction	416
#00BFC4	-2.49451851379126	1	6	prediction	417
#00BFC4	-2.49451851379126	1	7	prediction	418
#00BFC4	-2.49451851379126	1	8	prediction	419
#00BFC4	-2.49451851379126	1	9	prediction	420
#00BFC4	-2.49451851379126	1	10	prediction	421
#00BFC4	-2.49451851379126	1	11	prediction	422
#00BFC4	-2.49451851379126	1	12	prediction	423
#00BFC4	-2.49451851379126	1	13	prediction	424
#00BFC4	-2.49451851379126	1	14	prediction	425
#00BFC4	-2.49451851379126	1	15	prediction	426
#00BFC4	-2.49451851379126	1	16	prediction	427
#00BFC4	-2.49451851379126	1	17	prediction	428
#00BFC4	-2.49451851379126	1	18	prediction	429
#00BFC4	-2.49451851379126	1	19	prediction	430
#00BFC4	-2.49451851379126	1	20	prediction	431
#00BFC4	-2.49451851379126	1	21	prediction	432
#00BFC4	-2.49451851379126	1	22	prediction	433
#00BFC4	-2.49451851379126	1	23	prediction	434
#00BFC4	-2.49451851379126	1	24	prediction	435
#00BFC4	-2.49451851379126	1	25	prediction	436
#00BFC4	-2.49451851379126	1	26	prediction	437
#00BFC4	-2.49451851379126	1	27	prediction	438
#00BFC4	-2.49451851379126	1	28	prediction	439
#00BFC4	-2.49451851379126	1	29	prediction	440
#00BFC4	-2.49451851379126	1	30	prediction	441
#00BFC4	-2.49451851379126	1	31	prediction	442
#00BFC4	-2.49451851379126	1	32	prediction	443
#00BFC4	-2.49451851379126	1	33	prediction	444
#00BFC4	-2.49451851379126	1	34	prediction	445
#00BFC4	-2.49451851379126	1	35	prediction	446
#00BFC4	-2.49451851379126	1	36	prediction	447
#00BFC4	-2.49451851379126	1	37	prediction	448
#00BFC4	-2.49451851379126	1	38	prediction	449
#00BFC4	-2.49451851379126	1	39	prediction	450
#00BFC4	-2.49451851379126	1	40	prediction	451
#00BFC4	-2.40320303896442	1	0	prediction	452
#00BFC4	-2.40320303896442	1	1	prediction	453
#00BFC4	-2.40320303896442	1	2	prediction	454
#00BFC4	-2.40320303896442	1	3	prediction	455
#00BFC4	-2.40320303896442	1	4	prediction	456
#00BFC4	-2.40320303896442	1	5	prediction	457
#00BFC4	-2.40320303896442	1	6	prediction	458
#00BFC4	-2.40320303896442	1	7	prediction	459
#00BFC4	-2.40320303896442	1	8	prediction	460
#00BFC4	-2.40320303896442	1	9	prediction	461
#00BFC4	-2.40320303896442	1	10	prediction	462
#00BFC4	-2.40320303896442	1	11	prediction	463
#00BFC4	-2.40320303896442	1	12	prediction	464
#00BFC4	-2.40320303896442	1	13	prediction	465
#00BFC4	-2.40320303896442	1	14	prediction	466
#00BFC4	-2.40320303896442	1	15	prediction	467
#00BFC4	-2.40320303896442	1	16	prediction	468
#00BFC4	-2.40320303896442	1	17	prediction	469
#00BFC4	-2.40320303896442	1	18	prediction	470
#00BFC4	-2.40320303896442	1	19	prediction	471
#00BFC4	-2.40320303896442	1	20	prediction	472
#00BFC4	-2.40320303896442	1	21	prediction	473
#00BFC4	-2.40320303896442	1	22	prediction	474
#00BFC4	-2.40320303896442	1	23	prediction	475
#00BFC4	-2.40320303896442	1	24	prediction	476
#00BFC4	-2.40320303896442	1	25	prediction	477
#00BFC4	-2.40320303896442	1	26	prediction	478
#00BFC4	-2.40320303896442	1	27	prediction	479
#00BFC4	-2.40320303896442	1	28	prediction	480
#00BFC4	-2.40320303896442	1	29	prediction	481
#00BFC4	-2.40320303896442	1	30	prediction	482
#00BFC4	-2.40320303896442	1	31	prediction	483
#00BFC4	-2.40320303896442	1	32	prediction	484
#00BFC4	-2.40320303896442	1	33	prediction	485
#00BFC4	-2.40320303896442	1	34	prediction	486
#00BFC4	-2.40320303896442	1	35	prediction	487
#00BFC4	-2.40320303896442	1	36	prediction	488
#00BFC4	-2.40320303896442	1	37	prediction	489
#00BFC4	-2.40320303896442	1	38	prediction	490
#00BFC4	-2.40320303896442	1	39	prediction	491
#00BFC4	-2.40320303896442	1	40	prediction	492
#00BFC4	-2.39476124290377	1	0	prediction	493
#00BFC4	-2.39476124290377	1	1	prediction	494
#00BFC4	-2.39476124290377	1	2	prediction	495
#00BFC4	-2.39476124290377	1	3	prediction	496
#00BFC4	-2.39476124290377	1	4	prediction	497
#00BFC4	-2.39476124290377	1	5	prediction	498
#00BFC4	-2.39476124290377	1	6	prediction	499
#00BFC4	-2.39476124290377	1	7	prediction	500
#00BFC4	-2.39476124290377	1	8	prediction	501
#00BFC4	-2.39476124290377	1	9	prediction	502
#00BFC4	-2.39476124290377	1	10	prediction	503
#00BFC4	-2.39476124290377	1	11	prediction	504
#00BFC4	-2.39476124290377	1	12	prediction	505
#00BFC4	-2.39476124290377	1	13	prediction	506
#00BFC4	-2.39476124290377	1	14	prediction	507
#00BFC4	-2.39476124290377	1	15	prediction	508
#00BFC4	-2.39476124290377	1	16	prediction	509
#00BFC4	-2.39476124290377	1	17	prediction	510
#00BFC4	-2.39476124290377	1	18	prediction	511
#00BFC4	-2.39476124290377	1	19	prediction	512
#00BFC4	-2.39476124290377	1	20	prediction	513
#00BFC4	-2.39476124290377	1	21	prediction	514
#00BFC4	-2.39476124290377	1	22	prediction	515
#00BFC4	-2.39476124290377	1	23	prediction	516
#00BFC4	-2.39476124290377	1	24	prediction	517
#00BFC4	-2.39476124290377	1	25	prediction	518
#00BFC4	-2.39476124290377	1	26	prediction	519
#00BFC4	-2.39476124290377	1	27	prediction	520
#00BFC4	-2.39476124290377	1	28	prediction	521
#00BFC4	-2.39476124290377	1	29	prediction	522
#00BFC4	-2.39476124290377	1	30	prediction	523
#00BFC4	-2.39476124290377	1	31	prediction	524
#00BFC4	-2.39476124290377	1	32	prediction	525
#00BFC4	-2.39476124290377	1	33	prediction	526
#00BFC4	-2.39476124290377	1	34	prediction	527
#00BFC4	-2.39476124290377	1	35	prediction	528
#00BFC4	-2.39476124290377	1	36	prediction	529
#00BFC4	-2.39476124290377	1	37	prediction	530
#00BFC4	-2.39476124290377	1	38	prediction	531
#00BFC4	-2.39476124290377	1	39	prediction	532
#00BFC4	-2.39476124290377	1	40	prediction	533
#00BFC4	-2.38089458551258	1	0	prediction	534
